"index";"Nom de l'opérateur";"Millésime des données";"Code de l'IRIS - Code de la zone";"Code de l'IRIS - Libellé de la zone";"Énergie concernée";"Code du grand secteur";"Consommation (en MWh)";"Nombre de points de livraison"
"ID";"OPERATEUR";"ANNEE";"IRIS_CODE";"IRIS_LIBELLE";"FILIERE";"CODE_GRAND_SECTEUR";"CONSO";"PDL"
"0103C";"Oyonnax Biochaleur";"2019";"010310000";"Bellignat (commune non irisée)";"C";"X";5799.37;12
"0103C";"Oyonnax Biochaleur";"2019";"011810000";"Groissiat (commune non irisée)";"C";"X";417.77;1
"0103C";"Oyonnax Biochaleur";"2019";"012830102";"ZUS Centre";"C";"X";11931.26;23
"0103C";"Oyonnax Biochaleur";"2019";"012830103";"ZUS Nord-Est";"C";"X";12022.72;23
"0103C";"Oyonnax Biochaleur";"2019";"012830104";"ZUS Ouest";"C";"X";7429.65;16
"0103C";"Oyonnax Biochaleur";"2019";"012830201";"Ville Sud";"C";"X";2108.12;7
"0103C";"Oyonnax Biochaleur";"2019";"012830202";"Ville Est";"C";"X";"secret";"secret"
"0103C";"Oyonnax Biochaleur";"2019";"012830301";"Ville Ouest";"C";"X";1394.41;4
"0106C";"Belena";"2019";"010340101";"Ouest";"C";"R";4415;13
"0106C";"Belena";"2019";"010340101";"Ouest";"C";"T";2377;7
"0106C";"Belena";"2019";"010340103";"Sud Ouest";"C";"R";2377;7
"0106C";"Belena";"2019";"010340103";"Sud Ouest";"C";"T";1358;4
"0108C";"LA VINAIGRERIE";"2019";"010530103";"Préfecture";"C";"T";1476;2
"0108C";"LA VINAIGRERIE";"2019";"010530301";"Gare";"C";"R";292;1
"0108C";"LA VINAIGRERIE";"2019";"010530301";"Gare";"C";"T";2153;4
"0108C";"LA VINAIGRERIE";"2019";"010530302";"Brou";"C";"R";1384;3
"0108C";"LA VINAIGRERIE";"2019";"010530302";"Brou";"C";"T";6818;11
"0201C";"ZUP DU QUARTIER EUROPE";"2019";"025710000";"Omissy (commune non irisée)";"C";"T";3815;4
"0201C";"ZUP DU QUARTIER EUROPE";"2019";"026910202";"europe-remicourt 2";"C";"T";2376;3
"0201C";"ZUP DU QUARTIER EUROPE";"2019";"026910203";"europe-remicourt 3";"C";"R";3778;4
"0201C";"ZUP DU QUARTIER EUROPE";"2019";"026910203";"europe-remicourt 3";"C";"T";3569;5
"0201C";"ZUP DU QUARTIER EUROPE";"2019";"026910204";"europe-remicourt 4";"C";"R";5957;3
"0201C";"ZUP DU QUARTIER EUROPE";"2019";"026910204";"europe-remicourt 4";"C";"T";236;1
"0201C";"ZUP DU QUARTIER EUROPE";"2019";"026910205";"europe-remicourt 5";"C";"R";4387;3
"0201C";"ZUP DU QUARTIER EUROPE";"2019";"026910205";"europe-remicourt 5";"C";"T";519;1
"0201C";"ZUP DU QUARTIER EUROPE";"2019";"026910206";"europe-remicourt 6";"C";"R";5553;4
"0201C";"ZUP DU QUARTIER EUROPE";"2019";"026910206";"europe-remicourt 6";"C";"T";863;2
"0201C";"ZUP DU QUARTIER EUROPE";"2019";"026910206";"europe-remicourt 6";"C";"X";"secret";"secret"
"0201C";"ZUP DU QUARTIER EUROPE";"2019";"026910207";"europe-remicourt 7";"C";"R";10992;7
"0201C";"ZUP DU QUARTIER EUROPE";"2019";"026910207";"europe-remicourt 7";"C";"T";1077;3
"0201C";"ZUP DU QUARTIER EUROPE";"2019";"026910208";"europe-remicourt 8";"C";"R";1177;2
"0201C";"ZUP DU QUARTIER EUROPE";"2019";"026910210";"europe-remicourt 10";"C";"R";908;1
"0201C";"ZUP DU QUARTIER EUROPE";"2019";"026910210";"europe-remicourt 10";"C";"T";4254;3
"0202C";"ZUP DE PRESLES";"2019";"027220101";"Presles 1";"C";"R";2361;4
"0202C";"ZUP DE PRESLES";"2019";"027220101";"Presles 1";"C";"T";273;1
"0202C";"ZUP DE PRESLES";"2019";"027220102";"Presles 2";"C";"R";2984;3
"0202C";"ZUP DE PRESLES";"2019";"027220103";"Presles 3";"C";"R";6481;9
"0202C";"ZUP DE PRESLES";"2019";"027220103";"Presles 3";"C";"T";4077;7
"0202C";"ZUP DE PRESLES";"2019";"027220103";"Presles 3";"C";"X";"secret";"secret"
"0202C";"ZUP DE PRESLES";"2019";"027220201";"Maupas";"C";"R";8980;13
"0202C";"ZUP DE PRESLES";"2019";"027220201";"Maupas";"C";"T";1481;4
"0202C";"ZUP DE PRESLES";"2019";"027220501";"Centre 1";"C";"R";"secret";"secret"
"0202C";"ZUP DE PRESLES";"2019";"027220501";"Centre 1";"C";"T";257;3
"0202C";"ZUP DE PRESLES";"2019";"027220601";"Chevreux";"C";"R";2886;6
"0202C";"ZUP DE PRESLES";"2019";"027220601";"Chevreux";"C";"T";"secret";"secret"
"0203C";"RÉSEAU DE LAON";"2019";"020460000";"Barenton-Bugny (commune non irisée)";"C";"T";"secret";"secret"
"0203C";"RÉSEAU DE LAON";"2019";"021570000";"Chambry (commune non irisée)";"C";"T";1293;1
"0204C";"Réseau d'Urcel";"2019";"027550000";"Urcel (commune non irisée)";"C";"R";322.53;2
"0204C";"Réseau d'Urcel";"2019";"027550000";"Urcel (commune non irisée)";"C";"T";"secret";"secret"
"0205C";"Réseau de Château Thierry";"2019";"021680201";"Chesneaux";"C";"R";3452.713;4
"0205C";"Réseau de Château Thierry";"2019";"021680201";"Chesneaux";"C";"T";6507.768;5
"0205C";"Réseau de Château Thierry";"2019";"021680401";"Mare Aubry";"C";"R";784.843;1
"0205C";"Réseau de Château Thierry";"2019";"021680501";"Vaucrises";"C";"R";6172.432;5
"0205C";"Réseau de Château Thierry";"2019";"021680501";"Vaucrises";"C";"T";2367.922;7
"0205C";"Réseau de Château Thierry";"2019";"021680601";"Gerbrois-St Martin-Le Buisson-Vincelles";"C";"R";"secret";"secret"
"0205C";"Réseau de Château Thierry";"2019";"021680601";"Gerbrois-St Martin-Le Buisson-Vincelles";"C";"T";753.462;4
"0205C";"Réseau de Château Thierry";"2019";"021680701";"Blanchard";"C";"R";5846.176;2
"0205C";"Réseau de Château Thierry";"2019";"021680701";"Blanchard";"C";"T";1400.449;4
"0205C";"Réseau de Château Thierry";"2019";"02168XXXX";"Iris fictif de la commune Château-Thierry";"C";"R";"secret";"secret"
"0301C";"RÉSEAU SDC MOULINS";"2019";"031900107";"Quartier Sud Zone 1";"C";"R";5550.12;8
"0301C";"RÉSEAU SDC MOULINS";"2019";"031900107";"Quartier Sud Zone 1";"C";"T";401;4
"0301C";"RÉSEAU SDC MOULINS";"2019";"031900107";"Quartier Sud Zone 1";"C";"X";1496;3
"0301C";"RÉSEAU SDC MOULINS";"2019";"031900108";"Quartier Sud Zone 2";"C";"R";11825.69;14
"0301C";"RÉSEAU SDC MOULINS";"2019";"031900108";"Quartier Sud Zone 2";"C";"T";2482;6
"0301C";"RÉSEAU SDC MOULINS";"2019";"033210106";"Zone Industrielle";"C";"R";3522;1
"0301C";"RÉSEAU SDC MOULINS";"2019";"033210106";"Zone Industrielle";"C";"T";3699;1
"0302C";"Quartier Fontbouillant et Bien-Assis";"2019";"031010101";"Banlieue";"C";"R";1648;2
"0302C";"Quartier Fontbouillant et Bien-Assis";"2019";"031010101";"Banlieue";"C";"T";824;1
"0302C";"Quartier Fontbouillant et Bien-Assis";"2019";"031850115";"Bien Assis";"C";"R";19771;24
"0302C";"Quartier Fontbouillant et Bien-Assis";"2019";"031850115";"Bien Assis";"C";"T";10709;13
"0305C";"RÉSEAU DU MAYET-DE-MONTAGNE";"2019";"031650000";"Le Mayet-de-Montagne (commune non irisée)";"C";"I";"secret";"secret"
"0305C";"RÉSEAU DU MAYET-DE-MONTAGNE";"2019";"031650000";"Le Mayet-de-Montagne (commune non irisée)";"C";"R";534.822;8
"0305C";"RÉSEAU DU MAYET-DE-MONTAGNE";"2019";"031650000";"Le Mayet-de-Montagne (commune non irisée)";"C";"T";270.762;4
"0305C";"RÉSEAU DU MAYET-DE-MONTAGNE";"2019";"031650000";"Le Mayet-de-Montagne (commune non irisée)";"C";"X";985.875;6
"0307C";"Réseau de Commentry";"2019";"030820101";"1re Zone";"C";"R";501;2
"0307C";"Réseau de Commentry";"2019";"030820102";"2e Zone";"C";"R";1003;4
"0307C";"Réseau de Commentry";"2019";"030820103";"3e Zone";"C";"R";6016;24
"0307C";"Réseau de Commentry";"2019";"030820103";"3e Zone";"C";"T";251;1
"0309C";"SDC Moulins Ville";"2019";"030130000";"Avermes (commune non irisée)";"C";"R";3679;4
"0309C";"SDC Moulins Ville";"2019";"031900101";"Centre Historique";"C";"R";894;2
"0309C";"SDC Moulins Ville";"2019";"031900101";"Centre Historique";"C";"T";974;5
"0309C";"SDC Moulins Ville";"2019";"031900102";"Centre Moderne";"C";"R";"secret";"secret"
"0309C";"SDC Moulins Ville";"2019";"031900102";"Centre Moderne";"C";"T";3816;8
"0309C";"SDC Moulins Ville";"2019";"031900103";"Les Gâteaux";"C";"R";2862;5
"0309C";"SDC Moulins Ville";"2019";"031900103";"Les Gâteaux";"C";"T";5722;7
"0309C";"SDC Moulins Ville";"2019";"031900104";"Quartier Nord";"C";"R";418;1
"0309C";"SDC Moulins Ville";"2019";"031900105";"Decize Bourgogne";"C";"T";395;2
"0309C";"SDC Moulins Ville";"2019";"031900106";"Lyon Gare";"C";"R";"secret";"secret"
"0309C";"SDC Moulins Ville";"2019";"031900106";"Lyon Gare";"C";"T";"secret";"secret"
"0401C";"RCU Manosque Zac Chanteprunier";"2019";"041120109";"Périphérie";"C";"R";1672.65;9
"0401C";"RCU Manosque Zac Chanteprunier";"2019";"041120109";"Périphérie";"C";"T";5808.9;8
"0406C";"Réseau communal de Barcelonnette";"2019";"040190000";"Barcelonnette (commune non irisée)";"C";"X";2774;14
"0506C";"Réseau de Briancon";"2019";"050230102";"Grande Boucle";"C";"R";1602.28;4
"0506C";"Réseau de Briancon";"2019";"050230102";"Grande Boucle";"C";"T";"secret";"secret"
"0506C";"Réseau de Briancon";"2019";"050230103";"République-Sainte Catherine";"C";"R";1043.671;9
"0506C";"Réseau de Briancon";"2019";"050230103";"République-Sainte Catherine";"C";"T";2373.219;14
"0506C";"Réseau de Briancon";"2019";"050230104";"Briançon Nord";"C";"R";"secret";"secret"
"0506C";"Réseau de Briancon";"2019";"050230104";"Briançon Nord";"C";"T";4615.75;4
"0601C";"SONITHERM - Réseau de l'Ariane";"2019";"060880505";"Saint-Roch-Ricolfi";"C";"R";2229.44827586207;2
"0601C";"SONITHERM - Réseau de l'Ariane";"2019";"060880506";"Saint-Charles";"C";"R";2229.44827586207;2
"0601C";"SONITHERM - Réseau de l'Ariane";"2019";"060880507";"Roquebilliere";"C";"R";3344.1724137931;3
"0601C";"SONITHERM - Réseau de l'Ariane";"2019";"060880508";"Pierre Semard";"C";"R";8917.79310344828;8
"0601C";"SONITHERM - Réseau de l'Ariane";"2019";"060880509";"Mont Gros";"C";"R";4458.89655172414;4
"0601C";"SONITHERM - Réseau de l'Ariane";"2019";"060880603";"Pasteur";"C";"R";5573.62068965517;5
"0601C";"SONITHERM - Réseau de l'Ariane";"2019";"060880604";"Pasteur-Voie Romaine";"C";"R";1114.72413793103;1
"0601C";"SONITHERM - Réseau de l'Ariane";"2019";"060880605";"Pasteur-Saint Pons";"C";"R";8917.79310344828;8
"0601C";"SONITHERM - Réseau de l'Ariane";"2019";"060880701";"Route de Turin";"C";"R";6688.34482758621;6
"0601C";"SONITHERM - Réseau de l'Ariane";"2019";"060880702";"Bon Voyage";"C";"R";8917.79310344828;8
"0601C";"SONITHERM - Réseau de l'Ariane";"2019";"060880801";"Vinaigrier";"C";"R";1114.72413793103;1
"0601C";"SONITHERM - Réseau de l'Ariane";"2019";"060880902";"Ariane-Monzie";"C";"R";15606.1379310345;14
"0601C";"SONITHERM - Réseau de l'Ariane";"2019";"060880903";"La Lauvette";"C";"R";8917.79310344828;8
"0601C";"SONITHERM - Réseau de l'Ariane";"2019";"060880904";"Ariane-Ripert";"C";"R";10032.5172413793;9
"0601C";"SONITHERM - Réseau de l'Ariane";"2019";"060880905";"Ariane-Saramito";"C";"R";7803.06896551724;7
"0601C";"SONITHERM - Réseau de l'Ariane";"2019";"060881005";"Rimiez";"C";"R";1114.72413793103;1
"0602C";"St Augustin Cote d'Azur Habitat";"2019";"060882901";"Les Siagnes";"C";"T";1568;2
"0602C";"St Augustin Cote d'Azur Habitat";"2019";"060882902";"Les Moulins";"C";"R";14211.864;21
"0602C";"St Augustin Cote d'Azur Habitat";"2019";"060882902";"Les Moulins";"C";"T";"secret";"secret"
"0602C";"St Augustin Cote d'Azur Habitat";"2019";"060882903";"Digue des Francais";"C";"R";8274.54;10
"0603C";"Ranguin";"2019";"060290130";"Ranguin";"C";"R";8390.81;7
"0701C";"RÉSEAU D'AUBENAS";"2019";"070190101";"Centre Ville";"C";"X";2387;17
"0701C";"RÉSEAU D'AUBENAS";"2019";"070190102";"Baza-Bois Vignal";"C";"X";7552.25;30
"0701C";"RÉSEAU D'AUBENAS";"2019";"070190103";"Le Pont-Aubenas Est";"C";"X";6993;20
"0701C";"RÉSEAU D'AUBENAS";"2019";"070190104";"Les Oliviers";"C";"X";5277;27
"0701C";"RÉSEAU D'AUBENAS";"2019";"070190105";"Le Cheylard-Aubenas Ouest";"C";"X";1087;1
"0702C";"réseau du cheylard";"2019";"070640000";"Le Cheylard (commune non irisée)";"C";"R";1191;5
"0702C";"réseau du cheylard";"2019";"070640000";"Le Cheylard (commune non irisée)";"C";"T";2857;12
"08__C";"REVIN";"2019";"083630104";"Orzy";"C";"T";4300;4
"0802C";"Réseau LA CITADELLE CHARLEVILLE";"2019";"081050502";"Les Faubourgs-Sud";"C";"R";7615.333;17
"0802C";"Réseau LA CITADELLE CHARLEVILLE";"2019";"081050502";"Les Faubourgs-Sud";"C";"T";9731.667;22
"0803C";"Réseau SEDAN";"2019";"084090102";"Torcy Cité";"C";"R";11919.2814371257;40
"0803C";"Réseau SEDAN";"2019";"084090102";"Torcy Cité";"C";"T";11621.2994011976;39
"0803C";"Réseau SEDAN";"2019";"084090201";"Torcy1";"C";"R";297.982035928144;1
"0803C";"Réseau SEDAN";"2019";"084090202";"Torcy2";"C";"R";893.946107784431;3
"0803C";"Réseau SEDAN";"2019";"084090202";"Torcy2";"C";"T";595.964071856287;2
"0803C";"Réseau SEDAN";"2019";"084090301";"Centre 1";"C";"R";2681.83832335329;9
"0803C";"Réseau SEDAN";"2019";"084090301";"Centre 1";"C";"T";2383.85628742515;8
"0803C";"Réseau SEDAN";"2019";"084090302";"Centre 2a";"C";"R";1489.91017964072;5
"0803C";"Réseau SEDAN";"2019";"084090302";"Centre 2a";"C";"T";1191.92814371257;4
